Pattern	G solar	G solar new
M10,D11,H20	0,01	0,01
M10,D11,H21	0,01	0,01
M10,D11,H22	0,01	0,01
M10,D11,H23	0,01	0,01
M10,D11,H24	0,01	0,01
M10,D12,H01	0,01	0,01
M10,D12,H02	0,01	0,01
M10,D12,H03	0,01	0,01
M10,D12,H04	0,01	0,01
M10,D12,H05	0,01	0,01
M10,D12,H06	0,01	0,01
M10,D12,H07	1,60	1,60
M10,D12,H08	15,80	15,80
M10,D12,H09	26,10	26,10
M10,D12,H10	34,60	34,60
M10,D12,H11	39,80	39,80
M10,D12,H12	41,00	41,00
M10,D12,H13	38,20	38,20
M10,D12,H14	31,50	31,50
M10,D12,H15	22,10	22,10
M10,D12,H16	11,60	11,60
M10,D12,H17	0,40	0,40
M10,D12,H18	0,01	0,01
M10,D12,H19	0,01	0,01
M10,D12,H20	0,01	0,01
M10,D12,H21	0,01	0,01
M10,D12,H22	0,01	0,01
M10,D12,H23	0,01	0,01
M10,D12,H24	0,01	0,01
M10,D13,H01	0,01	0,01
M10,D13,H02	0,01	0,01
M10,D13,H03	0,01	0,01
M10,D13,H04	0,01	0,01
M10,D13,H05	0,01	0,01
M10,D13,H06	0,01	0,01
M10,D13,H07	1,53	1,53
M10,D13,H08	17,60	17,60
M10,D13,H09	29,00	29,00
M10,D13,H10	38,30	38,30
M10,D13,H11	44,00	44,00
M10,D13,H12	45,30	45,30
M10,D13,H13	42,20	42,20
M10,D13,H14	35,00	35,00
M10,D13,H15	24,60	24,60
M10,D13,H16	13,00	13,00
M10,D13,H17	0,31	0,31
M10,D13,H18	0,01	0,01
M10,D13,H19	0,01	0,01
M10,D13,H20	0,01	0,01
M10,D13,H21	0,01	0,01
M10,D13,H22	0,01	0,01
M10,D13,H23	0,01	0,01
M10,D13,H24	0,01	0,01
M10,D14,H01	0,01	0,01
M10,D14,H02	0,01	0,01
M10,D14,H03	0,01	0,01
M10,D14,H04	0,01	0,01
M10,D14,H05	0,01	0,01
M10,D14,H06	0,01	0,01
M10,D14,H07	1,42	1,42
M10,D14,H08	13,30	13,30
M10,D14,H09	22,50	22,50
M10,D14,H10	30,20	30,20
M10,D14,H11	34,90	34,90
M10,D14,H12	36,10	36,10
M10,D14,H13	33,50	33,50
M10,D14,H14	27,40	27,40
M10,D14,H15	18,90	18,90
M10,D14,H16	9,60	9,60
M10,D14,H17	0,21	0,21
M10,D14,H18	0,01	0,01
M10,D14,H19	0,01	0,01
M10,D14,H20	0,01	0,01
M10,D14,H21	0,01	0,01
M10,D14,H22	0,01	0,01
M10,D14,H23	0,01	0,01
M10,D14,H24	0,01	0,01
M10,D15,H01	0,01	0,01
M10,D15,H02	0,01	0,01
M10,D15,H03	0,01	0,01
M10,D15,H04	0,01	0,01
M10,D15,H05	0,01	0,01
M10,D15,H06	0,01	0,01
M10,D15,H07	1,24	1,24
M10,D15,H08	7,45	7,45
M10,D15,H09	13,60	13,60
M10,D15,H10	18,90	18,90
M10,D15,H11	22,20	22,20
M10,D15,H12	23,00	23,00
M10,D15,H13	21,20	21,20
M10,D15,H14	17,00	17,00
M10,D15,H15	11,20	11,20
M10,D15,H16	5,07	5,07
M10,D15,H17	0,11	0,11
M10,D15,H18	0,01	0,01
M10,D15,H19	0,01	0,01
M10,D15,H20	0,01	0,01
M10,D15,H21	0,01	0,01
M10,D15,H22	0,01	0,01
M10,D15,H23	0,01	0,01
M10,D15,H24	0,01	0,01
M10,D16,H01	0,01	0,01
M10,D16,H02	0,01	0,01
M10,D16,H03	0,01	0,01
M10,D16,H04	0,01	0,01
M10,D16,H05	0,01	0,01
M10,D16,H06	0,01	0,01
M10,D16,H07	1,21	1,21
M10,D16,H08	22,40	22,40
M10,D16,H09	36,60	36,60
M10,D16,H10	48,20	48,20
M10,D16,H11	55,20	55,20
M10,D16,H12	56,90	56,90
M10,D16,H13	53,00	53,00
M10,D16,H14	44,00	44,00
M10,D16,H15	31,10	31,10
M10,D16,H16	16,70	16,70
M10,D16,H17	0,03	0,03
M10,D16,H18	0,01	0,01
M10,D16,H19	0,01	0,01
M10,D16,H20	0,01	0,01
M10,D16,H21	0,01	0,01
M10,D16,H22	0,01	0,01
M10,D16,H23	0,01	0,01
M10,D16,H24	0,01	0,01
M10,D17,H01	0,01	0,01
M10,D17,H02	0,01	0,01
M10,D17,H03	0,01	0,01
M10,D17,H04	0,01	0,01
M10,D17,H05	0,01	0,01
M10,D17,H06	0,01	0,01
M10,D17,H07	1,04	1,04
M10,D17,H08	28,10	28,10
M10,D17,H09	45,20	45,20
M10,D17,H10	59,10	59,10
M10,D17,H11	67,50	67,50
M10,D17,H12	69,40	69,40
M10,D17,H13	64,90	64,90
M10,D17,H14	54,10	54,10
M10,D17,H15	38,60	38,60
M10,D17,H16	21,10	21,10
M10,D17,H17	0,01	0,01
M10,D17,H18	0,01	0,01
M10,D17,H19	0,01	0,01
M10,D17,H20	0,01	0,01
M10,D17,H21	0,01	0,01
M10,D17,H22	0,01	0,01
M10,D17,H23	0,01	0,01
M10,D17,H24	0,01	0,01
M10,D18,H01	0,01	0,01
M10,D18,H02	0,01	0,01
M10,D18,H03	0,01	0,01
M10,D18,H04	0,01	0,01
M10,D18,H05	0,01	0,01
M10,D18,H06	0,01	0,01
M10,D18,H07	1,03	1,03
M10,D18,H08	22,10	22,10
M10,D18,H09	36,40	36,40
M10,D18,H10	48,10	48,10
M10,D18,H11	55,20	55,20
M10,D18,H12	56,90	56,90
M10,D18,H13	53,00	53,00
M10,D18,H14	43,90	43,90
M10,D18,H15	30,80	30,80
M10,D18,H16	16,30	16,30
M10,D18,H17	0,01	0,01
M10,D18,H18	0,01	0,01
M10,D18,H19	0,01	0,01
M10,D18,H20	0,01	0,01
M10,D18,H21	0,01	0,01
M10,D18,H22	0,01	0,01
M10,D18,H23	0,01	0,01
M10,D18,H24	0,01	0,01
M10,D19,H01	0,01	0,01
M10,D19,H02	0,01	0,01
M10,D19,H03	0,01	0,01
M10,D19,H04	0,01	0,01
M10,D19,H05	0,01	0,01
M10,D19,H06	0,01	0,01
M10,D19,H07	0,96	0,96
M10,D19,H08	11,50	11,50
M10,D19,H09	20,30	20,30
M10,D19,H10	27,70	27,70
M10,D19,H11	32,40	32,40
M10,D19,H12	33,50	33,50
M10,D19,H13	30,90	30,90
M10,D19,H14	25,00	25,00
M10,D19,H15	16,80	16,80
M10,D19,H16	8,03	8,03
M10,D19,H17	0,01	0,01
M10,D19,H18	0,01	0,01
M10,D19,H19	0,01	0,01
M10,D19,H20	0,01	0,01
M10,D19,H21	0,01	0,01
M10,D19,H22	0,01	0,01
M10,D19,H23	0,01	0,01
M10,D19,H24	0,01	0,01
M10,D20,H01	0,01	0,01
M10,D20,H02	0,01	0,01
M10,D20,H03	0,01	0,01
M10,D20,H04	0,01	0,01
M10,D20,H05	0,01	0,01
M10,D20,H06	0,01	0,01
M10,D20,H07	0,87	0,87
M10,D20,H08	14,50	14,50
M10,D20,H09	25,10	25,10
M10,D20,H10	34,00	34,00
M10,D20,H11	39,50	39,50
M10,D20,H12	40,80	40,80
M10,D20,H13	37,80	37,80
M10,D20,H14	30,80	30,80
M10,D20,H15	21,00	21,00
M10,D20,H16	10,40	10,40
M10,D20,H17	0,01	0,01
M10,D20,H18	0,01	0,01
M10,D20,H19	0,01	0,01
M10,D20,H20	0,01	0,01
M10,D20,H21	0,01	0,01
M10,D20,H22	0,01	0,01
M10,D20,H23	0,01	0,01
M10,D20,H24	0,01	0,01
M10,D21,H01	0,01	0,01
M10,D21,H02	0,01	0,01
M10,D21,H03	0,01	0,01
M10,D21,H04	0,01	0,01
M10,D21,H05	0,01	0,01
M10,D21,H06	0,01	0,01
M10,D21,H07	0,76	0,76
M10,D21,H08	9,01	9,01
M10,D21,H09	16,60	16,60
M10,D21,H10	23,10	23,10
M10,D21,H11	27,20	27,20
M10,D21,H12	28,10	28,10
M10,D21,H13	25,90	25,90
M10,D21,H14	20,70	20,70
M10,D21,H15	13,60	13,60
M10,D21,H16	6,09	6,09
M10,D21,H17	0,01	0,01
M10,D21,H18	0,01	0,01
M10,D21,H19	0,01	0,01
M10,D21,H20	0,01	0,01
M10,D21,H21	0,01	0,01
M10,D21,H22	0,01	0,01
M10,D21,H23	0,01	0,01
M10,D21,H24	0,01	0,01
M10,D22,H01	0,01	0,01
M10,D22,H02	0,01	0,01
M10,D22,H03	0,01	0,01
M10,D22,H04	0,01	0,01
M10,D22,H05	0,01	0,01
M10,D22,H06	0,01	0,01
M10,D22,H07	0,69	0,69
M10,D22,H08	10,90	10,90
M10,D22,H09	19,70	19,70
M10,D22,H10	27,20	27,20
M10,D22,H11	31,90	31,90
M10,D22,H12	33,00	33,00
M10,D22,H13	30,40	30,40
M10,D22,H14	24,50	24,50
M10,D22,H15	16,30	16,30
M10,D22,H16	7,52	7,52
M10,D22,H17	0,01	0,01
M10,D22,H18	0,01	0,01
M10,D22,H19	0,01	0,01
M10,D22,H20	0,01	0,01
M10,D22,H21	0,01	0,01
M10,D22,H22	0,01	0,01
M10,D22,H23	0,01	0,01
M10,D22,H24	0,01	0,01
M10,D23,H01	0,01	0,01
M10,D23,H02	0,01	0,01
M10,D23,H03	0,01	0,01
M10,D23,H04	0,01	0,01
M10,D23,H05	0,01	0,01
M10,D23,H06	0,01	0,01
M10,D23,H07	0,37	0,37
M10,D23,H08	0,77	0,77
M10,D23,H09	2,95	2,95
M10,D23,H10	5,01	5,01
M10,D23,H11	6,37	6,37
M10,D23,H12	6,70	6,70
M10,D23,H13	5,94	5,94
M10,D23,H14	4,24	4,24
M10,D23,H15	2,06	2,06
M10,D23,H16	0,03	0,03
M10,D23,H17	0,01	0,01
M10,D23,H18	0,01	0,01
M10,D23,H19	0,01	0,01
M10,D23,H20	0,01	0,01
M10,D23,H21	0,01	0,01
M10,D23,H22	0,01	0,01
M10,D23,H23	0,01	0,01
M10,D23,H24	0,01	0,01
M10,D24,H01	0,01	0,01
M10,D24,H02	0,01	0,01
M10,D24,H03	0,01	0,01
M10,D24,H04	0,01	0,01
M10,D24,H05	0,01	0,01
M10,D24,H06	0,01	0,01
M10,D24,H07	0,44	0,44
M10,D24,H08	3,80	3,80
M10,D24,H09	8,43	8,43
M10,D24,H10	12,60	12,60
M10,D24,H11	15,20	15,20
M10,D24,H12	15,90	15,90
M10,D24,H13	14,40	14,40
M10,D24,H14	11,10	11,10
M10,D24,H15	6,57	6,57
M10,D24,H16	2,10	2,10
M10,D24,H17	0,01	0,01
M10,D24,H18	0,01	0,01
M10,D24,H19	0,01	0,01
M10,D24,H20	0,01	0,01
M10,D24,H21	0,01	0,01
M10,D24,H22	0,01	0,01
M10,D24,H23	0,01	0,01
M10,D24,H24	0,01	0,01
M10,D25,H01	0,01	0,01
M10,D25,H02	0,01	0,01
M10,D25,H03	0,01	0,01
M10,D25,H04	0,01	0,01
M10,D25,H05	0,01	0,01
M10,D25,H06	0,01	0,01
M10,D25,H07	0,36	0,36
M10,D25,H08	2,97	2,97
M10,D25,H09	7,09	7,09
M10,D25,H10	10,80	10,80
M10,D25,H11	13,20	13,20
M10,D25,H12	13,80	13,80
M10,D25,H13	12,50	12,50
M10,D25,H14	9,44	9,44
M10,D25,H15	5,42	5,42
M10,D25,H16	1,47	1,47
M10,D25,H17	0,01	0,01
M10,D25,H18	0,01	0,01
M10,D25,H19	0,01	0,01
M10,D25,H20	0,01	0,01
M10,D25,H21	0,01	0,01
M10,D25,H22	0,01	0,01
M10,D25,H23	0,01	0,01
M10,D25,H24	0,01	0,01
M10,D26,H01	0,01	0,01
M10,D26,H02	0,01	0,01
M10,D26,H03	0,01	0,01
M10,D26,H04	0,01	0,01
M10,D26,H05	0,01	0,01
M10,D26,H06	0,01	0,01
M10,D26,H07	0,29	0,29
M10,D26,H08	3,53	3,53
M10,D26,H09	8,07	8,07
M10,D26,H10	12,20	12,20
M10,D26,H11	14,80	14,80
M10,D26,H12	15,40	15,40
M10,D26,H13	14,00	14,00
M10,D26,H14	10,70	10,70
M10,D26,H15	6,24	6,24
M10,D26,H16	1,86	1,86
M10,D26,H17	0,01	0,01
M10,D26,H18	0,01	0,01
M10,D26,H19	0,01	0,01
M10,D26,H20	0,01	0,01
M10,D26,H21	0,01	0,01
M10,D26,H22	0,01	0,01
M10,D26,H23	0,01	0,01
M10,D26,H24	0,01	0,01
M10,D27,H01	0,01	0,01
M10,D27,H02	0,01	0,01
M10,D27,H03	0,01	0,01
M10,D27,H04	0,01	0,01
M10,D27,H05	0,01	0,01
M10,D27,H06	0,01	0,01
M10,D27,H07	0,25	0,25
M10,D27,H08	8,69	8,69
M10,D27,H09	16,60	16,60
M10,D27,H10	23,50	23,50
M10,D27,H11	27,90	27,90
M10,D27,H12	28,90	28,90
M10,D27,H13	26,50	26,50
M10,D27,H14	21,00	21,00
M10,D27,H15	13,50	13,50
M10,D27,H16	5,66	5,66
M10,D27,H17	0,01	0,01
M10,D27,H18	0,01	0,01
M10,D27,H19	0,01	0,01
M10,D27,H20	0,01	0,01
M10,D27,H21	0,01	0,01
M10,D27,H22	0,01	0,01
M10,D27,H23	0,01	0,01
M10,D27,H24	0,01	0,01
M10,D28,H01	0,01	0,01
M10,D28,H02	0,01	0,01
M10,D28,H03	0,01	0,01
M10,D28,H04	0,01	0,01
M10,D28,H05	0,01	0,01
M10,D28,H06	0,01	0,01
M10,D28,H07	0,17	0,17
M10,D28,H08	21,80	21,80
M10,D28,H09	37,20	37,20
M10,D28,H10	50,20	50,20
M10,D28,H11	58,10	58,10
M10,D28,H12	60,00	60,00
M10,D28,H13	55,60	55,60
M10,D28,H14	45,50	45,50
M10,D28,H15	31,20	31,20
M10,D28,H16	15,60	15,60
M10,D28,H17	0,01	0,01
M10,D28,H18	0,01	0,01
M10,D28,H19	0,01	0,01
M10,D28,H20	0,01	0,01
M10,D28,H21	0,01	0,01
M10,D28,H22	0,01	0,01
M10,D28,H23	0,01	0,01
M10,D28,H24	0,01	0,01
M10,D29,H01	0,01	0,01
M10,D29,H02	0,01	0,01
M10,D29,H03	0,01	0,01
M10,D29,H04	0,01	0,01
M10,D29,H05	0,01	0,01
M10,D29,H06	0,01	0,01
M10,D29,H07	0,09	0,09
M10,D29,H08	18,50	18,50
M10,D29,H09	32,20	32,20
M10,D29,H10	43,80	43,80
M10,D29,H11	51,00	51,00
M10,D29,H12	52,80	52,80
M10,D29,H13	48,80	48,80
M10,D29,H14	39,60	39,60
M10,D29,H15	26,80	26,80
M10,D29,H16	13,10	13,10
M10,D29,H17	0,01	0,01
M10,D29,H18	0,01	0,01
M10,D29,H19	0,01	0,01
M10,D29,H20	0,01	0,01
M10,D29,H21	0,01	0,01
M10,D29,H22	0,01	0,01
M10,D29,H23	0,01	0,01
M10,D29,H24	0,01	0,01
M10,D30,H01	0,01	0,01
M10,D30,H02	0,01	0,01
M10,D30,H03	0,01	0,01
M10,D30,H04	0,01	0,01
M10,D30,H05	0,01	0,01
M10,D30,H06	0,01	0,01
M10,D30,H07	0,01	0,01
M10,D30,H08	24,80	24,80
M10,D30,H09	42,10	42,10
M10,D30,H10	56,60	56,60
M10,D30,H11	65,50	65,50
M10,D30,H12	67,60	67,60
M10,D30,H13	62,70	62,70
M10,D30,H14	51,30	51,30
M10,D30,H15	35,40	35,40
M10,D30,H16	17,90	17,90
M10,D30,H17	0,01	0,01
M10,D30,H18	0,01	0,01
M10,D30,H19	0,01	0,01
M10,D30,H20	0,01	0,01
M10,D30,H21	0,01	0,01
M10,D30,H22	0,01	0,01
M10,D30,H23	0,01	0,01
M10,D30,H24	0,01	0,01
M10,D31,H01	0,01	0,01
M10,D31,H02	0,01	0,01
M10,D31,H03	0,01	0,01
M10,D31,H04	0,01	0,01
M10,D31,H05	0,01	0,01
M10,D31,H06	0,01	0,01
M10,D31,H07	0,01	0,01
M10,D31,H08	10,50	10,50
M10,D31,H09	19,90	19,90
M10,D31,H10	28,00	28,00
M10,D31,H11	33,10	33,10
M10,D31,H12	34,30	34,30
M10,D31,H13	31,50	31,50
M10,D31,H14	25,00	25,00
M10,D31,H15	16,20	16,20
M10,D31,H16	6,91	6,91
M10,D31,H17	0,01	0,01
M10,D31,H18	0,01	0,01
M10,D31,H19	0,01	0,01
M10,D31,H20	0,01	0,01
M10,D31,H21	0,01	0,01
M10,D31,H22	0,01	0,01
M10,D31,H23	0,01	0,01
M10,D31,H24	0,01	0,01
M11,D01,H01	0,01	0,01
M11,D01,H02	0,01	0,01
M11,D01,H03	0,01	0,01
M11,D01,H04	0,01	0,01
M11,D01,H05	0,01	0,01
M11,D01,H06	0,01	0,01
M11,D01,H07	0,01	0,01
M11,D01,H08	14,20	14,20
M11,D01,H09	25,90	25,90
M11,D01,H10	36,00	36,00
M11,D01,H11	42,30	42,30
M11,D01,H12	43,80	43,80
M11,D01,H13	40,30	40,30
M11,D01,H14	32,30	32,30
M11,D01,H15	21,30	21,30
M11,D01,H16	1,59	1,59
M11,D01,H17	0,01	0,01
M11,D01,H18	0,01	0,01
M11,D01,H19	0,01	0,01
M11,D01,H20	0,01	0,01
M11,D01,H21	0,01	0,01
M11,D01,H22	0,01	0,01
M11,D01,H23	0,01	0,01
M11,D01,H24	0,01	0,01
M11,D02,H01	0,01	0,01
M11,D02,H02	0,01	0,01
M11,D02,H03	0,01	0,01
M11,D02,H04	0,01	0,01
M11,D02,H05	0,01	0,01
M11,D02,H06	0,01	0,01
M11,D02,H07	0,01	0,01
M11,D02,H08	5,19	5,19
M11,D02,H09	11,40	11,40
M11,D02,H10	17,00	17,00
M11,D02,H11	20,60	20,60
M11,D02,H12	21,40	21,40
M11,D02,H13	19,40	19,40
M11,D02,H14	14,90	14,90
M11,D02,H15	8,91	8,91
M11,D02,H16	1,39	1,39
M11,D02,H17	0,01	0,01
M11,D02,H18	0,01	0,01
M11,D02,H19	0,01	0,01
M11,D02,H20	0,01	0,01
M11,D02,H21	0,01	0,01
M11,D02,H22	0,01	0,01
M11,D02,H23	0,01	0,01
M11,D02,H24	0,01	0,01
M11,D03,H01	0,01	0,01
M11,D03,H02	0,01	0,01
M11,D03,H03	0,01	0,01
M11,D03,H04	0,01	0,01
M11,D03,H05	0,01	0,01
M11,D03,H06	0,01	0,01
M11,D03,H07	0,01	0,01
M11,D03,H08	5,50	5,50
M11,D03,H09	12,00	12,00
M11,D03,H10	17,80	17,80
M11,D03,H11	21,60	21,60
M11,D03,H12	22,50	22,50
M11,D03,H13	20,40	20,40
M11,D03,H14	15,70	15,70
M11,D03,H15	9,39	9,39
M11,D03,H16	1,33	1,33
M11,D03,H17	0,01	0,01
M11,D03,H18	0,01	0,01
M11,D03,H19	0,01	0,01
M11,D03,H20	0,01	0,01
M11,D03,H21	0,01	0,01
M11,D03,H22	0,01	0,01
M11,D03,H23	0,01	0,01
M11,D03,H24	0,01	0,01
M11,D04,H01	0,01	0,01
M11,D04,H02	0,01	0,01
M11,D04,H03	0,01	0,01
M11,D04,H04	0,01	0,01
M11,D04,H05	0,01	0,01
M11,D04,H06	0,01	0,01
M11,D04,H07	0,01	0,01
M11,D04,H08	4,50	4,50
M11,D04,H09	10,40	10,40
M11,D04,H10	15,70	15,70
M11,D04,H11	19,10	19,10
M11,D04,H12	19,90	19,90
M11,D04,H13	18,00	18,00
M11,D04,H14	13,70	13,70
M11,D04,H15	8,01	8,01
M11,D04,H16	1,22	1,22
M11,D04,H17	0,01	0,01
M11,D04,H18	0,01	0,01
M11,D04,H19	0,01	0,01
M11,D04,H20	0,01	0,01
M11,D04,H21	0,01	0,01
M11,D04,H22	0,01	0,01
M11,D04,H23	0,01	0,01
M11,D04,H24	0,01	0,01
M11,D05,H01	0,01	0,01
M11,D05,H02	0,01	0,01
M11,D05,H03	0,01	0,01
M11,D05,H04	0,01	0,01
M11,D05,H05	0,01	0,01
M11,D05,H06	0,01	0,01
M11,D05,H07	0,01	0,01
M11,D05,H08	7,34	7,34
M11,D05,H09	15,20	15,20
M11,D05,H10	22,10	22,10
M11,D05,H11	26,50	26,50
M11,D05,H12	27,60	27,60
M11,D05,H13	25,10	25,10
M11,D05,H14	19,50	19,50
M11,D05,H15	12,00	12,00
M11,D05,H16	1,21	1,21
M11,D05,H17	0,01	0,01
M11,D05,H18	0,01	0,01
M11,D05,H19	0,01	0,01
M11,D05,H20	0,01	0,01
M11,D05,H21	0,01	0,01
M11,D05,H22	0,01	0,01
M11,D05,H23	0,01	0,01
M11,D05,H24	0,01	0,01
M11,D06,H01	0,01	0,01
M11,D06,H02	0,01	0,01
M11,D06,H03	0,01	0,01
M11,D06,H04	0,01	0,01
M11,D06,H05	0,01	0,01
M11,D06,H06	0,01	0,01
M11,D06,H07	0,01	0,01
M11,D06,H08	13,20	13,20
M11,D06,H09	24,70	24,70
M11,D06,H10	34,70	34,70
M11,D06,H11	41,00	41,00
M11,D06,H12	42,50	42,50
M11,D06,H13	39,00	39,00
M11,D06,H14	31,00	31,00
M11,D06,H15	20,10	20,10
M11,D06,H16	1,17	1,17
M11,D06,H17	0,01	0,01
M11,D06,H18	0,01	0,01
M11,D06,H19	0,01	0,01
M11,D06,H20	0,01	0,01
M11,D06,H21	0,01	0,01
M11,D06,H22	0,01	0,01
M11,D06,H23	0,01	0,01
M11,D06,H24	0,01	0,01
M11,D07,H01	0,01	0,01
M11,D07,H02	0,01	0,01
M11,D07,H03	0,01	0,01
M11,D07,H04	0,01	0,01
M11,D07,H05	0,01	0,01
M11,D07,H06	0,01	0,01
M11,D07,H07	0,01	0,01
M11,D07,H08	7,51	7,51
M11,D07,H09	15,60	15,60
M11,D07,H10	22,70	22,70
M11,D07,H11	27,30	27,30
M11,D07,H12	28,40	28,40
M11,D07,H13	25,90	25,90
M11,D07,H14	20,10	20,10
M11,D07,H15	12,40	12,40
M11,D07,H16	1,06	1,06
M11,D07,H17	0,01	0,01
M11,D07,H18	0,01	0,01
M11,D07,H19	0,01	0,01
M11,D07,H20	0,01	0,01
M11,D07,H21	0,01	0,01
M11,D07,H22	0,01	0,01
M11,D07,H23	0,01	0,01
M11,D07,H24	0,01	0,01
M11,D08,H01	0,01	0,01
M11,D08,H02	0,01	0,01
M11,D08,H03	0,01	0,01
M11,D08,H04	0,01	0,01
M11,D08,H05	0,01	0,01
M11,D08,H06	0,01	0,01
M11,D08,H07	0,01	0,01
M11,D08,H08	8,83	8,83
M11,D08,H09	17,90	17,90
M11,D08,H10	25,80	25,80
M11,D08,H11	30,90	30,90
M11,D08,H12	32,10	32,10
M11,D08,H13	29,30	29,30
M11,D08,H14	22,90	22,90
M11,D08,H15	14,30	14,30
M11,D08,H16	1,01	1,01
M11,D08,H17	0,01	0,01
M11,D08,H18	0,01	0,01
M11,D08,H19	0,01	0,01
M11,D08,H20	0,01	0,01
M11,D08,H21	0,01	0,01
M11,D08,H22	0,01	0,01
M11,D08,H23	0,01	0,01
M11,D08,H24	0,01	0,01
M11,D09,H01	0,01	0,01
M11,D09,H02	0,01	0,01
M11,D09,H03	0,01	0,01
M11,D09,H04	0,01	0,01
M11,D09,H05	0,01	0,01
M11,D09,H06	0,01	0,01
M11,D09,H07	0,01	0,01
M11,D09,H08	11,20	11,20
M11,D09,H09	21,80	21,80
M11,D09,H10	31,10	31,10
M11,D09,H11	37,00	37,00
M11,D09,H12	38,40	38,40
M11,D09,H13	35,10	35,10
M11,D09,H14	27,70	27,70
M11,D09,H15	17,60	17,60
M11,D09,H16	0,95	0,95
M11,D09,H17	0,01	0,01
M11,D09,H18	0,01	0,01
M11,D09,H19	0,01	0,01
M11,D09,H20	0,01	0,01
M11,D09,H21	0,01	0,01
M11,D09,H22	0,01	0,01
M11,D09,H23	0,01	0,01
M11,D09,H24	0,01	0,01
M11,D10,H01	0,01	0,01
M11,D10,H02	0,01	0,01
M11,D10,H03	0,01	0,01
M11,D10,H04	0,01	0,01
M11,D10,H05	0,01	0,01
M11,D10,H06	0,01	0,01
M11,D10,H07	0,01	0,01
M11,D10,H08	1,77	1,77
M11,D10,H09	5,93	5,93
M11,D10,H10	9,81	9,81
M11,D10,H11	12,40	12,40
M11,D10,H12	13,00	13,00
M11,D10,H13	11,60	11,60
M11,D10,H14	8,37	8,37
M11,D10,H15	4,23	4,23
M11,D10,H16	0,72	0,72
M11,D10,H17	0,01	0,01
M11,D10,H18	0,01	0,01
M11,D10,H19	0,01	0,01
M11,D10,H20	0,01	0,01
M11,D10,H21	0,01	0,01
M11,D10,H22	0,01	0,01
M11,D10,H23	0,01	0,01
M11,D10,H24	0,01	0,01
M11,D11,H01	0,01	0,01
M11,D11,H02	0,01	0,01
M11,D11,H03	0,01	0,01
M11,D11,H04	0,01	0,01
M11,D11,H05	0,01	0,01
M11,D11,H06	0,01	0,01
M11,D11,H07	0,01	0,01
M11,D11,H08	15,20	15,20
M11,D11,H09	28,50	28,50
M11,D11,H10	40,00	40,00
M11,D11,H11	47,30	47,30
M11,D11,H12	49,10	49,10
M11,D11,H13	45,00	45,00
M11,D11,H14	35,80	35,80
M11,D11,H15	23,20	23,20
M11,D11,H16	0,82	0,82
M11,D11,H17	0,01	0,01
M11,D11,H18	0,01	0,01
M11,D11,H19	0,01	0,01
M11,D11,H20	0,01	0,01
M11,D11,H21	0,01	0,01
M11,D11,H22	0,01	0,01
M11,D11,H23	0,01	0,01
M11,D11,H24	0,01	0,01
M11,D12,H01	0,01	0,01
M11,D12,H02	0,01	0,01
M11,D12,H03	0,01	0,01
M11,D12,H04	0,01	0,01
M11,D12,H05	0,01	0,01
M11,D12,H06	0,01	0,01
M11,D12,H07	0,01	0,01
M11,D12,H08	18,10	18,10
M11,D12,H09	33,20	33,20
M11,D12,H10	46,20	46,20
M11,D12,H11	54,40	54,40
M11,D12,H12	56,40	56,40
M11,D12,H13	51,80	51,80
M11,D12,H14	41,50	41,50
M11,D12,H15	27,20	27,20
M11,D12,H16	0,72	0,72
M11,D12,H17	0,01	0,01
M11,D12,H18	0,01	0,01
M11,D12,H19	0,01	0,01
M11,D12,H20	0,01	0,01
M11,D12,H21	0,01	0,01
M11,D12,H22	0,01	0,01
M11,D12,H23	0,01	0,01
M11,D12,H24	0,01	0,01
M11,D13,H01	0,01	0,01
M11,D13,H02	0,01	0,01
M11,D13,H03	0,01	0,01
M11,D13,H04	0,01	0,01
M11,D13,H05	0,01	0,01
M11,D13,H06	0,01	0,01
M11,D13,H07	0,01	0,01
M11,D13,H08	13,10	13,10
M11,D13,H09	25,30	25,30
M11,D13,H10	36,00	36,00
M11,D13,H11	42,80	42,80
M11,D13,H12	44,40	44,40
M11,D13,H13	40,60	40,60
M11,D13,H14	32,10	32,10
M11,D13,H15	20,50	20,50
M11,D13,H16	0,68	0,68
M11,D13,H17	0,01	0,01
M11,D13,H18	0,01	0,01
M11,D13,H19	0,01	0,01
M11,D13,H20	0,01	0,01
M11,D13,H21	0,01	0,01
M11,D13,H22	0,01	0,01
M11,D13,H23	0,01	0,01
M11,D13,H24	0,01	0,01
M11,D14,H01	0,01	0,01
M11,D14,H02	0,01	0,01
M11,D14,H03	0,01	0,01
M11,D14,H04	0,01	0,01
M11,D14,H05	0,01	0,01
M11,D14,H06	0,01	0,01
M11,D14,H07	0,01	0,01
M11,D14,H08	17,40	17,40
M11,D14,H09	32,20	32,20
M11,D14,H10	45,10	45,10
M11,D14,H11	53,20	53,20
M11,D14,H12	55,20	55,20
M11,D14,H13	50,70	50,70
M11,D14,H14	40,40	40,40
M11,D14,H15	26,30	26,30
M11,D14,H16	0,60	0,60
M11,D14,H17	0,01	0,01
M11,D14,H18	0,01	0,01
M11,D14,H19	0,01	0,01
M11,D14,H20	0,01	0,01
M11,D14,H21	0,01	0,01
M11,D14,H22	0,01	0,01
M11,D14,H23	0,01	0,01
M11,D14,H24	0,01	0,01
M11,D15,H01	0,01	0,01
